lord_id,name,alliance_id,alliance_tag,town_center,home_server,power,map_id,units_killed,faction,merits,highest_power,legion_power,tech_power,building_power,hero_power,units_dead,units_healed,city_sieges,defeats,victories,scouted,gold,wood,ore,mana,gems,resources_given,resources_given_count,helps_given,gold_spent,wood_spent,stone_spent,mana_spent,gems_spent,killcount_t5,killcount_t4,killcount_t3,killcount_t2,killcount_t1
4446697,Redarmʷᴬᵒ,339030,wAo,25,92,507177835,92,3328542730,League of Order,0,"508,379,389",443697501,31734406,18680998,13064930,47316314,1928325066,4187,804895,483539,2986,589706797,277359626,253901674,1180138502,2540,1090338985,228,88841,106030917850,86832990407,57752822692,63316358882,-,1753777580,1306792154,84599533,36409277,143665462
1185058,Melatonin ʚïɞ,339030,wAo,25,92,464343088,92,1842221993,Springwardens,0,"464,343,088",401946039,31732531,18641248,12023270,5067822,1201273395,229,411508,297733,315,437685661,439070055,362922771,3018474793,53,4671487844,953,126925,21390080203,20552914824,10616388598,11331523388,-,881888097,731982201,23680151,10143232,194292819
6853139,XFTManiacʷᴬᵒ,339030,wAo,25,92,384139156,92,1580258767,League of Order,0,"384,161,236",320440542,31734406,18680998,13283210,15135105,1167083251,1061,434374,324453,415,306450611,172490732,172103260,720481030,41,489430058,99,102717,49824085235,43543826853,23936486528,29909435604,-,969040055,488816273,27273926,10731236,80183299
10164187,籵GENTLEMAN,339030,wAo,25,92,325959251,92,2021538805,League of Order,0,"325,959,251",262556157,31734406,18680998,12987690,18989273,1433090480,1186,684900,416448,908,406117109,211344377,361068570,8172138462,55,4827782996,971,139571,61941955865,67859234886,28212561682,36049900082,-,1167493138,673705465,35951833,16269939,126999598
11537218,大老BAO,339030,wAo,25,92,281023217,92,2199829949,League of Order,0,"281,023,217",218663053,31734406,18680998,11944760,6956332,1106727965,927,247279,375017,907,806917077,507380119,219641593,7807977988,209,23899958121,4828,105344,18774375566,17448080789,13572214576,6324683861,-,820717546,1096884897,93724928,36569115,151424305
10078833,카이레이ray,339030,wAo,25,92,280729160,92,1048954268,Springwardens,0,"280,729,160",217721936,31734406,18680998,12591820,10242299,870204274,455,308747,341354,608,1525093632,1403252482,920789973,4246289411,3640,4422271959,898,142119,35970074499,40655416416,27204454132,24753003987,-,646853076,350475359,8365953,4483344,38598639
10674190,ᵘˡᵗᶦᵐᵃᵗᵉˡʸEZ,339030,wAo,25,92,277654217,92,1837910728,Springwardens,0,"277,654,217",213826873,31734406,18680998,13411940,20677089,1105891297,2550,236899,492336,2091,354799616,257436729,138383217,1360229757,954,18384692241,3704,136651,48227816332,48055746070,34828402602,27640405962,-,970957348,648760028,34994285,22258343,159258145
2122130,ShutDown,339030,wAo,25,92,236388091,92,2263418883,League of Order,0,"276,724,171",173015157,31734406,18680998,12957530,12184554,993761093,1379,172502,620887,2095,2910320865,2655542208,1845534487,6373018784,117,4287823796,868,140624,25317143723,23824865166,19403940878,15068036450,-,1238666397,831858112,26435473,12698393,153004651
3514310,ムᴮˡᵒˢˢᵒᵐHAM411,339030,wAo,25,92,275843453,92,2174458822,League of Order,0,"275,857,103",212622514,31732531,18680998,12807410,9922041,1585986671,1201,622784,490849,1268,2871723370,3163967896,1950472540,6890890156,263,3338717244,678,179638,85819890022,74854707860,57330814210,54197490889,-,1200933462,890008582,11112423,10481605,61501988
2790251,ˣˡˡˡRegi OnlyInf,369276,-I-,25,509,267988231,509,993728468,League of Order,0,"267,988,231",206965627,31734406,18680998,10607200,2421646,891172823,161,411787,224402,792,2753618380,2521861068,1631476127,9930538320,465,742721035,184,117066,20241911549,20096465461,6292105584,11101864503,-,493081091,435338204,8497151,4084838,52585842
11288601,The Hippie72,339030,wAo,25,92,248420247,92,812855888,Wilderburg,0,"267,772,497",185480903,31734406,18680998,12523940,7878491,605814650,381,205721,128385,466,1282272375,1328796127,601360410,1759032499,242,2870780626,578,100886,36435927405,39430739051,23132225504,24690885254,-,300388865,468760715,8611603,2417197,32286192
10221428,시온,287580,NM!,25,428,259535393,428,3260050367,League of Order,0,"266,551,733",196705259,31734406,18680998,12402860,8860902,1181226883,2160,226246,481070,1271,1274235621,806114855,600553286,4795997865,664,1665800004,340,163404,20639064253,22830161876,15655889447,13703294358,-,1163147158,1791849858,49839822,31779011,221911559
1257530,CUAlma,339030,wAo,25,92,264582136,92,1790903762,Springwardens,0,"264,582,136",201287892,31734406,18680998,12878840,10865699,980123966,1425,334953,245709,1276,401345613,256915711,415214390,3441128521,5835,1153070183,270,141863,23283351345,21653489933,9748659138,12694931417,-,797168590,776101600,36683668,16339546,163432063
3078500,Аnf,339030,wAo,25,92,261196878,92,2010615995,League of Order,0,"261,196,878",198238979,31732531,18680998,12544370,17332777,982789734,1939,261310,493116,2223,703903785,553821241,779229193,3776174595,526,947580347,223,188657,33664612520,25464590484,20939266521,18997758248,-,1260139752,507105242,30329975,35879491,175309773
10794959,The Captain ʷᴬᵒ,339030,wAo,25,92,259605410,92,3171075941,Wilderburg,0,"260,630,874",195994216,31734406,18680998,13195790,32008975,1962076365,4889,690449,673177,1440,662218327,450842227,508923355,2452057663,3170,3152360945,689,137207,105296505921,87728852296,75713199465,65737391847,-,1786466198,1118290738,57793035,33440314,173124376
5039991,Valsa,196212,ED',25,17,241096212,17,1652361958,League of Order,0,"241,096,212",178402678,31734406,18680998,12278130,7156899,807147480,496,147474,347159,1152,2149685902,2186748165,1437769990,5471550208,25936,1389297959,282,179266,16399440089,17174577481,10877888279,10311852593,-,757434765,704895432,18693315,12119514,158957396
4849796,Mizzshield,339030,wAo,25,92,240304382,92,1096024829,Wilderburg,0,"240,304,382",178273458,31734406,18680998,11615520,14885597,903323163,936,355226,210889,977,822205280,654031723,342742719,1572042517,1698,12150144741,2499,106513,23863959016,24987388944,9505441493,13502184303,-,615851564,361254074,42590508,27091864,48791334
11364835,Mad X,287580,NM!,25,428,222738124,428,1159572001,League of Order,0,"234,136,674",159850730,31734406,18680998,12471990,3394526,648968004,212,121120,257235,904,1286720069,1116975119,799592102,3207641224,487,997143466,229,88758,14049288438,14955385320,10457210530,8982646532,-,529202244,519136574,18270094,11169579,81701326
13053794,Smoked Chedda,295031,KO-E,25,458,227039724,458,1034109027,League of Order,0,"227,240,834",165968595,31732531,18680998,10657600,5228788,806702362,423,140803,174036,162,1760054718,856177239,867155783,4579892525,3957,61864733,14,91349,23439885661,19237001770,14270119600,14301819297,-,460348904,443705792,36894574,19818876,73125144
1368538,ˣˡˡˡNeHx,369276,-I-,25,509,201219985,509,885230240,Wilderburg,0,"226,007,583",141345456,31732531,18446048,9695950,6064118,783463885,166,416193,133134,114,47734911,81661792,16778163,267611847,13,1184703426,250,101064,32865638803,32459644385,5568676155,16377044228,-,415789664,412401262,13728624,19590533,23612445
11142165,台灣頂呱呱 wAo,339030,wAo,25,92,214489728,92,1115777315,League of Order,0,"223,320,188",152487809,31732531,18680998,11588390,5139791,766167291,159,120669,389028,649,3655296630,2037725453,4009840043,6170237679,261,1084431068,246,296457,22208336130,20391678118,17275500839,14375328095,-,766610793,272581489,7188061,7186360,62154895
1682364,ᵃᵖᵉZartyr,196212,ED',25,17,203897540,17,1603767871,League of Order,0,"215,030,240",141695976,31734406,18680998,11786160,14303109,887402358,1791,289501,372578,852,214745009,244704328,559972702,2048150022,71,3972725463,852,121978,22298147726,21265249379,10323288379,13671258376,-,752216833,671361754,31607103,17108704,129979616
1280293,Hàmøʷᴬᵒ,339030,wAo,25,92,214255671,92,1404950185,Wilderburg,0,"214,255,671",153302047,31734406,18680998,10538220,12421108,938423885,2335,294411,212632,1190,271361662,222379769,201312363,2225854507,368,7215779392,1515,109138,25167463437,23708214546,16863058121,15538114896,-,673498851,554514944,38519450,15650201,121087489
726476,Glokta,295031,KO-E,25,458,212482276,458,2003581227,Springwardens,0,"212,482,276",151620207,31732531,18680998,10448540,12116321,1050644921,3011,187213,340929,2465,1333772206,806005782,1000860946,4515203523,140,18315737036,3725,107225,20832541648,17870471432,12625754057,7187321972,-,727243513,1060070311,53261236,17496628,144171059
11371644,Fafa發,339030,wAo,25,92,208290751,92,1634001106,Wilderburg,0,"208,290,751",147619232,31732531,18680998,10257990,16802206,1087528232,1286,292760,208240,693,329514620,255439775,106106182,5981491157,713,3381321795,701,103235,25736027086,26910873458,13568898222,14936775026,-,646170659,844850753,52179968,21036185,68583554
2349283,CrOm,339030,wAo,25,92,208013840,92,1120620278,League of Order,0,"208,013,840",145607771,31732531,18680998,11992540,2972430,726777521,223,125659,404461,1470,2749554342,2487076966,2996526812,5914979711,1156,427540,4,143085,14611459944,12718021268,11597570553,9825836242,-,637482804,425182158,10425349,5100007,42216256
4650453,PigLek,196212,ED',25,17,205887116,17,1686233061,League of Order,0,"207,939,737",143339912,31734406,18680998,12131800,18729788,941337999,627,375623,320340,707,1278313979,1081887547,535076542,2100253574,503,8162519369,1696,138565,43589380171,43389154679,18113400581,26231282235,-,761618827,822910529,14205231,4512879,82638482
544257,Quientityᵀᴴᴷ,369276,-I-,25,509,205298834,509,1605835027,Wilderburg,0,"205,298,834",142676665,31732531,18680998,12208640,10665297,997565779,1130,286530,282173,1962,1564218807,1386955197,941185566,4381385233,2408,3827825069,826,191238,37704317794,26391447034,18975580344,19445718815,-,599737350,838059743,7022527,3526087,156945835
10215549,버거형,287580,NM!,25,428,182904625,428,678400514,League of Order,0,"202,314,005",123235396,31732531,18680998,9255700,2356742,619926237,277,144053,289261,151,793316816,731152409,659456428,7238206066,210,1054977216,214,86336,22571042269,19639092346,11478816265,11994913461,-,387968338,252126040,2157131,3191884,32847563
16633476,WhoAmIToday72,339030,wAo,25,92,201819630,92,389274814,Wilderburg,0,"201,819,630",140092641,31732531,18680998,11313460,2982423,301947007,133,122647,106678,384,810798569,1126549514,356505442,1535867861,71,4000010,3,59254,23106986694,25835111583,13983621840,14615309254,-,179498725,168836504,6356126,4189319,30283934
5081381,Hols,339030,wAo,25,92,201087567,92,1120833299,League of Order,0,"201,087,567",139079868,31732531,18680998,11594170,6795191,870303579,656,201605,336525,619,1419094394,1188002282,1129142907,4613074233,1969,3233394231,650,123280,17965965490,15670588079,12167444668,9433077024,-,616848177,302081641,5730561,4757395,191135787
5653854,Warturdtle,339030,wAo,25,92,199997916,92,1276659790,League of Order,0,"200,370,258",138721842,31734406,18680998,10860670,6024084,704574667,892,229332,293046,955,337884986,333447901,323401294,2551279694,193,3510622451,762,165241,13585226009,11848875506,7699194762,7769615200,-,534041275,639033757,26104370,13117320,63745520
1634708,ᵃᵖᵉSovka,196212,ED',25,17,183457143,17,992307386,League of Order,0,"199,306,843",121738464,31732531,18680998,11305150,6414726,824217260,864,165743,373592,320,828322843,428146980,1745430199,3372569912,168,1474626890,320,107938,12613314240,10299250310,7655118717,7085032447,-,560958237,281083490,11194120,7208086,131392858
1202605,ᴮᴬᴰｼ Ninja ʷᴬᵒ,339030,wAo,25,92,197958070,92,1034971758,League of Order,0,"197,958,070",137667461,31732531,18680998,9877080,3602433,817288434,451,150601,421216,688,946881785,791430697,519524922,4982464886,1659,28411507,16,187297,14570111481,14005582267,8721987124,9045299006,-,638563076,290779664,4686905,2749771,97945701
864189,KᶦⁿᵍSⁿᵃᵏᵉ,339030,wAo,25,92,197118153,92,1113842592,League of Order,0,"197,118,153",136245669,31734406,18680998,10457080,6144663,810052812,401,228271,307952,473,1223043653,1126364396,1436647077,6430742261,61,216442671,49,127367,13943541898,13617474041,8851326958,8348350003,-,569774425,417631024,17490010,8593615,100071225
8658811,Warriorangel,295031,KO-E,25,458,195725648,458,573397875,League of Order,0,"195,725,648",131749014,31734406,18680998,13561230,970750,351283262,259,71029,198494,186,918133054,384748753,1221098542,3119737389,36,42740044,9,94261,12447228150,11379159320,8334574041,8069740281,-,260115184,290110723,4810116,1825585,16446588
4944045,BADND,339030,wAo,25,92,194958125,92,906474218,League of Order,0,"194,958,125",134119651,31734406,18680998,10423070,3095647,471811892,103,129580,315857,373,1560437338,1085674425,2358525199,4781439362,101,68460000,15,87892,9730803457,9196441284,7109244179,6794258043,-,472649654,280749797,10000430,17177320,125701224
5445416,ᵀᵃˢᵗʸSiny,295031,KO-E,25,458,193464644,458,1590575709,League of Order,0,"193,464,644",131804820,31734406,18680998,11244420,6503273,982560315,801,154080,432921,942,2682170647,2152460175,2194565537,5927056457,256,1580211353,507,152363,23793497706,23373391895,16590504470,15237865600,-,888965342,444348666,64021032,45800345,146909305
8426679,ᴵᴹAz,339030,wAo,25,92,189329354,92,1183345255,League of Order,0,"189,329,354",129444300,31734406,18680998,9469650,4338885,738207728,559,239830,226682,638,505831090,341333724,310517263,2577796335,1786,1204451032,247,75722,9666176245,9040192280,3612229742,4800256862,-,429398548,605203561,37691081,15486578,94604483
9672764,드 뤡 쿤,339030,wAo,25,92,189228973,92,1045427286,League of Order,0,"189,228,973",128240399,31734406,18680998,10573170,8367010,665997866,575,187685,451501,910,928809225,988280410,877399857,5714222513,1576,379593333,79,300799,14544150251,16205373202,10412331135,9926529938,-,646472366,313292176,5075450,4324325,76000914
728101,MURT,295031,KO-E,25,458,185489453,458,1641375044,League of Order,0,"187,519,100",126463499,31734406,18680998,8610550,16398451,948019211,2316,234344,283324,2303,745127105,857479529,151547751,3334915869,197,869858267,193,75957,26115265657,24881729707,6278480453,13933187317,-,648860255,872689139,36594299,18036799,62571204
8159557,DaHaSh 乂,276578,FR_X,25,403,186792072,403,925950053,Springwardens,0,"187,509,612",125600313,31732531,18680998,10778230,5101529,735770831,441,203236,187052,1079,802349521,570997300,625227615,2077509485,345,2882071716,599,104874,14642695853,14954239416,7033869027,8114327442,-,391854984,478171537,10010766,5037746,40559071
2326889,ムᴮᵘᵇᵇˡᵉˢAryanP,339030,wAo,25,92,187396783,92,1561538110,League of Order,0,"187,431,513",126296524,31732531,18680998,10686730,3946986,902851982,3358,142463,306998,4545,3841638426,3860604825,3033411236,6398195110,27677,7525949655,1540,214087,16603531470,16947605420,11582460058,9809312218,-,596005308,638339340,55574819,31946480,236992622
11739011,아리운,339030,wAo,25,92,187331718,92,742551964,League of Order,0,"187,331,718",127048379,31732531,18267538,10283270,3402223,655086738,57,214284,299594,123,1043795672,499347260,516495653,7577795483,20,95000000,19,59769,18680048713,18556177415,8107308153,10577385621,-,407000968,299987300,10451622,9811854,15385960
7787716,ᴴᵉⁿᵗᵃᶦQueen,276578,FR_X,25,403,187241863,403,927769732,Wilderburg,0,"187,250,383",127152784,31732531,18680998,9675550,2568261,645449766,159,188148,257499,764,1005675528,888686987,615446766,1905164511,46522,2735049009,588,174250,12733566990,10259287941,6593736669,5840351828,-,377045337,410590804,12362898,5076263,122622099
8448916,ⱤɆĐ,339030,wAo,25,92,187076518,92,1075972845,League of Order,0,"187,076,518",125565919,31732531,18680998,11097070,12434968,894174549,635,219430,302054,1099,525454074,389892407,382952264,3282058015,32,1350510330,292,235555,27403839978,25718336726,20750154093,18456328898,-,635595233,272966837,10879153,8145792,148206314
1919681,TeddyJ,251652,7Sin,25,344,184558329,344,641823419,League of Order,0,"184,558,329",124547820,31732531,18680998,9596980,1381482,692840203,437,151881,302012,834,4383066433,5220897667,2932686451,5334614482,99854,340327987,75,147432,14453106471,15241999033,9068349872,9107544961,-,390707706,135095571,8398694,7331109,99965608
10687464,El Capitan ʷᴬᵒ,339030,wAo,25,92,183063932,92,921965179,League of Order,0,"183,938,423",122725658,31734406,18680998,9922870,16431901,752615829,1509,258102,165535,911,923555064,635694144,392253759,1600774508,770,1037230048,219,83133,18458939760,19306590740,8830989683,11609755087,-,383070383,424880837,25696253,14924732,72889229
3576213,ᵃᵖᵉCapOne,196212,ED',25,17,183277312,17,801550385,League of Order,0,"183,277,312",122476128,31734406,18680998,9713350,2250065,670650733,244,123234,277409,1090,2026162880,1992435115,1852135172,5302144150,352,61454917,19,80132,8654535053,8930301699,4640385087,4972277099,-,421286713,255811182,11566798,19931807,92726346
12716817,ᵀOttoman,339030,wAo,25,92,183274629,92,512417488,League of Order,0,"183,274,629",121586650,31732531,18680998,11274450,2840605,452609110,108,183279,178886,612,1255619295,927637019,510440059,3498670739,-,34970852,7,70093,14327162690,13591721634,7610549062,8812095363,-,312108820,166098847,6163559,2204546,25755084
8872102,크릴 KⱤɆɆLʷᴬᵒ,339030,wAo,25,92,183244430,92,829377850,League of Order,0,"183,244,430",121395651,31732531,18680998,11435250,10717189,874402446,369,274342,324707,761,961009427,1101069491,802452733,4032417789,2664,507987964,131,128664,30110050605,29174636349,18117127246,18652681971,-,597610823,177245031,1990923,3373795,49187073
4420321,BarkBark22,196212,ED',25,17,178736549,17,1261293672,League of Order,0,"182,847,053",119509940,31732531,18680998,8685080,3044065,698744471,297,136574,286441,1438,1854997378,1884070476,1457760540,3877643125,3661,265538017,94,109093,11049887661,10774343681,7744791389,7459103446,-,656809806,398767283,10010604,7751918,187741071
7806387,Killdrone,276578,FR_X,25,403,181964120,403,1068557487,Wilderburg,0,"181,964,120",120283286,31734406,18680998,11265430,11971837,675633271,1309,227181,165334,1517,527603281,290561109,123529765,1049631702,2001,632692692,135,69075,25383279479,25768035059,13539430220,15933403067,-,444323471,526639195,12562883,6267480,78297001
10537730,ᴵᴿᴼᴺ Maha,295031,KO-E,25,458,181892532,458,1559449607,League of Order,0,"181,900,532",120590353,31732531,18680998,10888650,6668591,805674679,707,120821,655102,1324,940602842,855927022,850966618,5812590442,3769,240091999,54,139430,23123449950,23798615900,18203739322,14260204734,-,1026216480,427072374,13002097,9573966,83369408
5600390,ᵉᵈˢ Dr Smiles,295031,KO-E,25,458,178762618,458,1495294430,Springwardens,0,"180,888,765",117012304,31734406,18680998,10767910,10281973,594115403,2502,126554,206292,807,1357384703,1115881208,695064187,1826343583,1360,2325721861,519,136073,14569407265,14921925427,5987379040,8302336078,-,410434221,782635847,63376809,20496535,216227880
4407133,TopDog92,339030,wAo,25,92,180603625,92,815153121,League of Order,0,"180,603,625",120161826,31732531,18680998,10028270,3984550,690269408,324,119547,319906,890,2430117452,2412194030,1314781889,7365839921,118145,343,7,180559,14720756706,15113836943,9540494495,9183298600,-,487222507,192671289,5604209,2720851,126764607
10329081,ᴵᴿᴼᴺ HALO,295031,KO-E,25,458,179203142,458,1073662288,Springwardens,0,"179,203,142",118850098,31734406,18680998,9937640,7499192,788205600,2979,108195,206308,1738,859697502,643013072,463967763,4724335483,7583,847913657,181,169638,15238337008,15186694831,10159025492,8470421852,-,511096434,356039504,45863067,31434280,126116554
1880597,PastorOfMuppets,339030,wAo,25,92,179105889,92,887594775,League of Order,0,"179,105,889",117914590,31732531,18680998,10777770,4917743,446532753,349,117118,281260,181,540868343,356668478,881947323,3868599882,66,346225462,96,137040,9775883772,9611764779,6718590036,6756520563,-,494408866,309223553,3505875,2196872,78079072
9761888,꼬달ᴷᵒᵈᵃˡ,339030,wAo,25,92,178635715,92,596204189,Wilderburg,0,"178,635,715",117930826,31732531,18680998,10291360,5126188,642389718,158,212745,248041,355,1816749562,1070673313,876256709,4011489807,900,2715932133,546,79917,20901111590,15067834463,10947040776,10182447735,-,387169887,129026472,5453758,8127067,66370523
5568793,Roland67,369276,-I-,25,509,177620072,509,615485396,League of Order,0,"177,819,222",115736178,31734406,18680998,11468490,4730350,601841826,345,156940,231136,430,2196554911,1426623898,1967557367,3495249513,138,1496219686,304,135546,9928563840,9894668462,5336220883,5489705764,-,273182326,282949787,6788709,2255081,50051493
10050633,미르 ᴵˢ ᴮᴬᶜᴷ,287580,NM!,25,428,162938765,428,1156007995,Wilderburg,0,"177,675,105",102654401,31734406,18680998,9868960,6086347,776437010,1119,147401,220614,1524,2029140122,1027044453,661804514,3695778048,343,6255668566,1274,147792,16333753120,12225595251,10186179599,7994437903,-,485144602,551093439,33108799,17837411,67895737
1979122,ᴰᵉᵃᵈˡʸSilarFarm,251652,7Sin,25,344,177438155,344,609685428,Springwardens,0,"177,438,155",116931356,31732531,18680998,10093270,1374364,551393604,37,125555,241868,438,1007537100,1348991354,847526326,4946908277,1146,736622551,187,116147,12793177082,15562503273,9425405831,8727371738,-,349118723,141906616,7606387,8511053,102508878
1675099,ᵃᵖᵉARI,196212,ED',25,17,177347779,17,1190286162,League of Order,0,"177,347,779",117150050,31732531,18680998,9784200,5961519,705691897,1503,115171,277052,1039,1154483348,1013695502,1020151926,4044023394,832,268204003,61,123376,18250168461,15371669310,13844058373,12400424695,-,551918618,385003253,23345292,16000656,212559646
13349339,ᴰˢᴰ CrossWinds,369276,-I-,25,509,176491917,509,1659229560,League of Order,0,"176,491,917",113910338,31732531,18680998,12168050,8095174,688035133,539,246443,367990,509,1755834952,926573118,790852000,4730953543,467,2295976811,499,152989,50172387167,42761093715,28949839014,30891179470,-,671323623,922253056,23427838,7933319,33736315
9614039,The T ッ,339030,wAo,25,92,176353121,92,566171570,Wilderburg,0,"176,353,121",116472552,31732531,18680998,9467040,2640051,612077823,42,137954,223946,267,2534982145,1997892289,1604417230,4235637637,85,654973,1,144872,11535790949,8803905442,6487561793,6039149873,-,338247182,165323494,3926959,2621079,56016283
1266136,Sаtаn,339030,wAo,25,92,176329845,92,752068524,Wilderburg,0,"176,329,845",116615281,31734406,18680998,9299160,10489107,601916663,1008,246759,159876,959,71336314,52858186,48988721,830270240,477,2342641575,579,78592,7419629864,6576999597,4466953035,4554724471,-,388716896,286244331,15066042,7401477,53235837
9738329,ALL DIE,339030,wAo,25,92,176037405,92,945531829,League of Order,0,"176,049,995",115061711,31734406,18680998,10560290,10490842,724779718,780,258238,304595,1607,2533878881,1123212829,661366517,6170297523,6044,1270636507,260,133500,20405556144,20170621475,11117042409,11463131042,-,588482343,295036491,8729023,4307275,48673433
11335589,Ŵraţĥ,287580,NM!,25,428,175881153,428,782457588,League of Order,0,"175,881,153",112745594,31732531,18680998,12722030,2635228,615299120,459,152890,245031,468,3245689271,2030074895,1484231029,4120899577,126,1210000000,242,94317,16316599039,12747367937,10132684530,8940720314,-,428397896,268682355,3380969,4752215,77159862
9795188,몽실탱탱,287580,NM!,25,428,152211507,428,1253831993,League of Order,0,"175,746,651",93762538,31732531,18521998,8194440,3917357,664831675,135,99363,561966,1120,1510266688,2155862873,1446257087,7161084264,260,505000000,101,152200,12391535030,14389238931,10677356769,8765193042,-,797036418,384775850,7465192,7828292,56684721
4358226,Disen,339030,wAo,25,92,175450283,92,645752520,League of Order,0,"175,450,283",114030764,31732531,18680998,11005990,4411900,700745267,109,202561,267495,580,3490888414,3438802141,2216036993,5353005789,2930,11473736,5,110837,12979882257,12977833361,6004937172,7409364375,-,360486982,222514987,11362226,4870453,46389697
5412556,Gagster5,369276,-I-,25,509,174713730,509,1233851676,League of Order,0,"174,978,840",112609256,31734406,18680998,11689070,9588686,971752083,1066,326366,268600,1574,348653142,302437258,103411198,2615797054,634,165404129,88,109770,45533294696,42717810698,16160669244,25992013415,-,521769639,572900987,39231054,21482766,77318626
8061947,ȾḤ aQixxx ツ,276578,FR_X,25,403,174245809,403,421856023,League of Order,0,"174,245,809",113371030,31732531,18680998,10461250,1735622,384367451,63,81924,182331,200,1735067020,1851173659,1247626221,3550249807,7,69605181,16,134056,9589260087,9797977839,5618664384,6137913658,-,255962656,129517387,4474690,3055809,28801942
8402027,MɆAṪ ḦɆŁI,339030,wAo,25,92,167199004,92,722966380,League of Order,0,"173,602,084",105886455,31732531,18680998,10899020,6830051,703525799,928,145259,254256,1319,1084821528,1295004102,711174877,4340029959,1874,210439577,49,194187,16268800425,16161287064,6529053166,8962484401,-,432242755,157802209,4848048,4080809,123587109
8600015,Jemandʷᴬᵒ,339030,wAo,25,92,173595129,92,1110870647,League of Order,0,"173,595,129",113993640,31732531,18680998,9187960,4628951,594379682,527,134016,441094,756,1916568912,2262042592,1461786515,6363506209,364,2874742046,637,130037,15409028521,15647945012,9135224069,8474160078,-,612855984,298812551,6639604,3483815,188748610
4616791,Amonx,339030,wAo,25,92,173463984,92,1431016689,League of Order,0,"173,463,984",113350330,31734406,18680998,9698250,863982,733743262,31,114716,526552,650,2648108144,2802540102,2418112248,6406154217,912,279128840,58,129537,11602651626,11376784251,7725230356,6988159846,-,783073853,587323366,18827565,7226518,34542069
3665158,ʷᴬᵒ Stargazer168,339030,wAo,25,92,173349740,92,878317557,League of Order,0,"173,349,740",111240046,31734406,18680998,11694290,7426697,796040959,335,234776,320179,848,3844474608,3079626920,2286431229,6475804518,828,53001906,25,172198,22383727807,20086585804,13798103935,14404559446,-,591380049,224880205,7612609,5135297,49206192
10788438,루비아이ᴿᵁᴮʸ ᴱʸᴱ,339030,wAo,25,92,167638514,92,915015854,League of Order,0,"172,882,694",106614910,31734406,18680998,10608200,3861815,709961520,1331,199430,323889,707,1070634984,883225642,938288249,6467746938,5471,1649498874,340,124487,17173896274,15064723530,11673410422,9556308843,-,486166046,324002668,26296265,13858686,64119187
10829309,ᴳᴬᴿᴸᴵᴺᴳBILONGʷᴬᵒ,339030,wAo,25,92,146398799,92,1340375207,League of Order,0,"172,240,333",86812475,31734406,18680998,9170920,5316274,829169587,487,213471,304357,565,351541311,471597576,652573596,5466208004,9105,9155428647,1843,94209,16378710577,17092541768,11538511558,8409664188,-,628731278,572488089,43281815,15642070,80016908
9783449,Don Lee,339030,wAo,25,92,172175587,92,629675868,League of Order,0,"172,175,587",111475618,31732531,18680998,10286440,5170419,592464836,138,110931,277128,309,1015099824,1160978288,617200308,3854600703,27,1682467511,338,133239,12792207362,13245281263,7866388667,6942891959,-,410930274,135719293,2838070,4556563,75432078
1994903,ᵂᴱburgandie,268674,MAD!,25,376,171921944,376,1099810044,League of Order,0,"171,921,944",108116860,31734406,18680998,13389680,2724234,583201305,73,113892,288005,677,463798394,550587363,405139971,2103006075,807,26882000,7,145539,20915636197,20700159641,16159688497,13964600525,-,492131569,544462626,5352956,4874440,52965111
11892698,Xyu ᵔ ᵕ ᵔ,295031,KO-E,25,458,171895565,458,777091719,League of Order,0,"171,895,565",114179506,31732531,18680998,7302530,433592,365909355,34,21977,307123,151,1398216147,1993304125,1256352542,3414684694,-,-,-,85045,8452003165,8985030772,5715845566,5063037018,-,379492235,346223083,1129693,980340,49251471
2382034,SKZERAA,339030,wAo,25,92,171825517,92,837045829,League of Order,0,"171,825,517",112235808,31732531,18680998,9176180,3924596,636399718,589,135519,397626,2233,2221323977,2155879041,1983742830,6531793469,252,4600000,1,93251,12504238585,10320717614,7344722060,7171298238,-,576901961,175027676,7868116,5429321,71311289
4446023,ᴰᵉᵃᵈˡʸBILLIE,251652,7Sin,25,344,171358441,344,1267771152,League of Order,0,"171,358,441",110735732,31732531,18027698,10862480,4775226,664012159,864,126150,281849,1239,1467599112,1366159586,1458876017,4316258569,5937,847987878,176,81812,13708792365,12867596499,8627046949,8248722891,-,438672456,708789179,17854019,4504687,97421684
10878570,Hᵃʳˡᵉʸᵉᵗᵗᵉɞ ʷᴬᵒ,339030,wAo,25,92,170283306,92,713989432,Wilderburg,0,"170,283,306",109825177,31732531,18680998,10044600,8964552,658022115,1853,175376,275684,572,986021115,910857200,953485215,1998900117,393,9292945652,1883,154129,33350261682,26884550273,26565191015,18892484806,-,409006540,204064280,14303722,11962274,73996841
4428941,ArgghCapnSleepy,196212,ED',25,17,169978844,17,1246788465,League of Order,0,"169,978,844",111372985,31732531,18267538,8605790,2773821,458702173,297,26112,339494,1209,4172419125,4079017253,2095341371,4645804736,42782,889300016,190,160155,9820935372,9819212353,7271209295,6037561164,-,564048892,400948066,9051687,6519320,266033142
4692688,Dresdan,276578,FR_X,25,403,169320063,403,602408578,Wilderburg,0,"169,956,993",107307874,31732531,18680998,11598660,3577836,573105649,121,131515,208209,108,2464060834,2675800759,1225023678,2788547816,70,-,-,120077,16519685515,17631667454,10335217696,10687170157,-,349999298,221953611,1801729,1269335,27279288
